#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
11.100000 -2.359215 -0.016454 0.077139 -2.411489 -0.022251 0.091368 -2.412814 -0.022810 0.091789 -2.389235 0.047047 0.051067 -2.202583 -0.004511 0.064251 -2.369972 -0.019325 0.081185 -2.255583 0.078909 0.047520 -2.364676 0.016240 0.143108 -2.416704 0.008446 0.158575 -2.418017 0.008158 0.158950 -2.393836 0.064923 0.094979 -2.208204 0.019354 0.128918 -2.375455 0.012172 0.145066 -2.262843 0.083295 0.073553
11.300000 -2.162537 -0.009000 0.070403 -2.211070 -0.012474 0.083703 -2.212061 -0.012910 0.086461 -2.200317 0.031838 0.043107 -2.015207 -0.002218 0.060488 -2.174855 -0.012527 0.076394 -2.083537 0.057466 0.029125 -2.168060 0.023879 0.132847 -2.215605 0.018628 0.149548 -2.216383 0.015261 0.151978 -2.206260 0.044162 0.100746 -2.020394 0.024236 0.126530 -2.180113 0.019599 0.140126 -2.088178 0.069639 0.082476
11.500000 -1.958506 -0.002649 0.060672 -2.003950 -0.003474 0.074054 -2.005622 -0.003685 0.078556 -1.993713 0.027965 0.039741 -1.820629 0.000000 0.056610 -1.973225 -0.004201 0.072021 -1.897685 0.038302 0.025077 -1.963827 0.029177 0.124058 -2.009082 0.025588 0.136282 -2.010480 0.025552 0.139515 -2.000796 0.039832 0.106282 -1.824956 0.023172 0.123739 -1.978193 0.025296 0.130800 -1.904091 0.052083 0.084720
11.700000 -1.784507 0.000216 0.046219 -1.822329 -0.000243 0.057370 -1.823466 -0.002959 0.060596 -1.818054 0.025180 0.028294 -1.667832 0.000811 0.045038 -1.799878 -0.001753 0.057585 -1.743791 0.029556 0.020678 -1.788321 0.026482 0.114481 -1.826450 0.026990 0.120296 -1.827083 0.028149 0.124483 -1.823714 0.038516 0.104724 -1.673697 0.023745 0.112578 -1.802438 0.026826 0.122250 -1.748735 0.042595 0.092299
11.900000 -1.674464 0.007255 0.035510 -1.702041 0.003869 0.040289 -1.703650 0.000273 0.045715 -1.697602 0.022250 0.021055 -1.592364 0.007381 0.033774 -1.687034 0.000000 0.044020 -1.652178 0.021872 0.018618 -1.678870 0.028857 0.106180 -1.706007 0.026724 0.106196 -1.706857 0.025498 0.110975 -1.703893 0.036545 0.098255 -1.597521 0.030732 0.103846 -1.690894 0.026868 0.109210 -1.657561 0.038738 0.092654
12.100000 -1.642720 0.011818 0.029399 -1.658397 0.009284 0.031860 -1.657254 0.003176 0.038784 -1.659671 0.020776 0.019696 -1.595598 0.016252 0.028164 -1.650506 0.003813 0.038988 -1.631353 0.021615 0.018273 -1.646769 0.038729 0.096162 -1.661566 0.035783 0.100345 -1.659873 0.032595 0.104081 -1.663833 0.040656 0.090478 -1.599558 0.043304 0.090773 -1.653572 0.034230 0.104454 -1.637517 0.043523 0.087146
12.300000 -1.672071 0.016469 0.022083 -1.678810 0.012794 0.025822 -1.675558 0.007766 0.034524 -1.684109 0.025559 0.015717 -1.649959 0.022494 0.020772 -1.672609 0.007426 0.034266 -1.671763 0.024943 0.015706 -1.675546 0.046947 0.088195 -1.682271 0.045311 0.090851 -1.678079 0.040146 0.097312 -1.686753 0.047997 0.087023 -1.652540 0.048297 0.084080 -1.674055 0.039475 0.096460 -1.676394 0.048893 0.083346
12.500000 -1.738169 0.018477 0.021553 -1.734568 0.017117 0.023050 -1.728435 0.009105 0.037563 -1.739401 0.024933 0.015466 -1.751563 0.027985 0.015542 -1.731935 0.009691 0.036663 -1.742155 0.026063 0.015003 -1.743576 0.046497 0.086263 -1.741036 0.046866 0.087655 -1.736296 0.042256 0.095475 -1.744692 0.048640 0.086533 -1.752738 0.057052 0.077570 -1.739054 0.043648 0.094480 -1.746484 0.051893 0.081908
12.700000 -1.831249 0.021073 0.023345 -1.822676 0.019586 0.022957 -1.821557 0.010509 0.038139 -1.823502 0.026650 0.015034 -1.861825 0.028001 0.021221 -1.823459 0.010416 0.038845 -1.835634 0.028409 0.016408 -1.835649 0.050034 0.083960 -1.827101 0.049495 0.085109 -1.823870 0.046332 0.087861 -1.829215 0.051827 0.083214 -1.869011 0.053428 0.078660 -1.825787 0.045397 0.088511 -1.840261 0.052728 0.081334
12.900000 -1.930402 0.023279 0.023865 -1.918039 0.022793 0.022710 -1.913557 0.019197 0.036497 -1.919594 0.027788 0.019335 -1.980627 0.029738 0.022312 -1.921736 0.021832 0.034942 -1.933268 0.027974 0.021218 -1.929159 0.046934 0.089640 -1.917315 0.046706 0.091407 -1.909154 0.047996 0.090208 -1.920437 0.053541 0.089053 -1.980014 0.053990 0.078748 -1.915347 0.047152 0.089177 -1.933857 0.049195 0.086844
13.100000 -2.027925 0.018992 0.027308 -2.014505 0.018157 0.027635 -2.020172 0.022648 0.033548 -2.012830 0.019814 0.027083 -2.099447 0.034312 0.022088 -2.026124 0.022109 0.034972 -2.028414 0.020628 0.028178 -2.029865 0.045080 0.089097 -2.013372 0.044260 0.090903 -2.017752 0.051133 0.089113 -2.012788 0.043416 0.092179 -2.098083 0.048269 0.086394 -2.025919 0.050712 0.084894 -2.030072 0.044782 0.090325
13.300000 -2.116505 0.017668 0.029721 -2.097113 0.016037 0.029623 -2.110046 0.022407 0.041684 -2.092736 0.015583 0.032732 -2.190079 0.019892 0.033397 -2.120859 0.025738 0.038697 -2.114855 0.018026 0.029413 -2.118470 0.040455 0.097245 -2.100109 0.041282 0.097690 -2.100189 0.037193 0.101206 -2.099617 0.041606 0.095796 -2.199725 0.046228 0.093158 -2.107504 0.037883 0.104519 -2.120132 0.043406 0.093360
13.500000 -2.210552 0.015772 0.033889 -2.194312 0.016554 0.033375 -2.243674 0.035315 0.027320 -2.186808 0.013794 0.036365 -2.300217 0.027200 0.033553 -2.256180 0.038874 0.021851 -2.205304 0.013788 0.036484 -2.209047 0.040323 0.097525 -2.191628 0.039651 0.098819 -2.233293 0.073292 0.083383 -2.186439 0.036902 0.102545 -2.308828 0.049317 0.087673 -2.244296 0.063234 0.092802 -2.205741 0.038175 0.100223
13.700000 -2.298829 0.011039 0.040580 -2.283409 0.007680 0.041127 -2.312225 0.032927 0.040500 -2.283628 0.011036 0.039685 -2.416209 0.039324 0.025387 -2.299125 0.013637 0.050629 -2.298306 0.012136 0.040602 -2.309243 0.043426 0.097813 -2.291529 0.040076 0.101499 -2.286847 0.049227 0.128476 -2.292692 0.041236 0.098309 -2.393113 0.040102 0.107620 -2.282742 0.041952 0.129776 -2.309856 0.042957 0.097717
13.900000 -2.371502 0.008411 0.049673 -2.359584 0.010229 0.046345 -2.389147 -0.015525 0.107249 -2.359862 0.018633 0.040703 -2.496164 0.025345 0.036135 -2.415080 0.006627 0.075657 -2.369187 0.011115 0.046792 -2.376867 0.042969 0.099653 -2.360378 0.046456 0.101957 -2.358495 2.358495 0.141653 -2.365945 0.052657 0.095012 -2.505680 0.054004 0.091351 -2.352502 2.352502 0.159445 -2.380887 0.047755 0.095360
14.100000 -2.499249 0.027710 0.037737 -2.486558 0.024669 0.044811 -2.499606 2.499606 0.018043 -2.478502 0.016697 0.048184 -2.557589 0.028764 0.041099 -2.499606 2.499606 0.018043 -2.489091 0.019880 0.046712 -2.501476 0.060506 0.102561 -2.491400 0.059068 0.103448 -2.472970 2.472970 0.057030 -2.489984 0.062128 0.103270 -2.558306 0.048845 0.111190 -2.472970 2.472970 0.057030 -2.502959 0.068816 0.097009
14.300000 -2.599484 0.033724 0.031148 -2.584185 0.034068 0.030149 -2.689142 2.689142 -0.099142 -2.579757 0.034595 0.031378 -2.820000 0.096563 0.025000 -2.686035 2.686035 0.010782 -2.594461 0.037364 0.034444 -2.610210 0.075591 0.080586 -2.591028 0.076647 0.081514 -2.680000 2.680000 0.000000 -2.580509 0.065416 0.094245 -2.780000 0.069649 0.105000 -2.710000 2.710000 0.014253 -2.597812 0.064728 0.094916
14.500000 -2.725737 0.061094 0.015585 -2.719302 0.058671 0.015373 0.000000 0.000000 0.000000 -2.707453 0.054051 0.019464 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.719630 0.064445 0.012426 -2.728875 0.077319 0.084616 -2.723165 0.074855 0.087220 0.000000 0.000000 0.000000 -2.722504 0.076847 0.087525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.728079 0.079135 0.085488
14.700000 -2.782872 0.048574 0.040493 -2.782872 0.048574 0.040493 0.000000 0.000000 0.000000 -2.773278 0.045410 0.050027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.773278 0.045410 0.050027 -2.784827 0.081773 0.096553 -2.784827 0.081773 0.096553 0.000000 0.000000 0.000000 -2.768821 0.069529 0.108078 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -2.768821 0.069529 0.108078
14.900000 -3.000000 0.180000 -0.070000 -2.995000 0.180000 -0.070000 0.000000 0.000000 0.000000 -2.995000 0.220000 -0.080000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.000000 0.185000 -0.070000 -3.015000 0.185000 -0.005000 -3.012500 0.187500 -0.007500 0.000000 0.000000 0.000000 -3.015000 0.190000 -0.010000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -3.017500 0.177500 0.002500
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
